#	PrecisionAbstract	RecallAbsract	PrecisionAbstractIdeal	RecallAbstractIdeal
5	0.1371	0.0885	0.2617	0.1786
10	0.1079	0.1353	0.1827	0.2368
15	0.0900	0.1665	0.1413	0.2696
20	0.0771	0.1881	0.1163	0.2916
30	0.0624	0.2249	0.0883	0.3256
100	0.0294	0.3422	0.0364	0.4250
200	0.0182	0.4148	0.0214	0.4859
500	0.0094	0.5212	0.0102	0.5633
1000	0.0055	0.5964	0.0057	0.6151
